"Zeitstempel","Wie alt bist du? / How old are you?","  Welches Geschlecht haben Sie? / What is your gender?  ","  Welchen höchsten Bildungsabschluss haben Sie? / What is your highest level of education?  ","  Waren Sie vor dieser Umfrage über KI-Avatare informiert, die Personen nachahmen? / Before this survey, were you aware of AI avatars replicating individuals?  ","  Waren Sie vor dieser Umfrage über KI-Avatare informiert, die Personen verstorbene nachahmen? / Before this survey, were you aware of AI avatars replicating deceased individuals?  ","  Haben Sie bereits mit KI-Systemen oder Chatbots interagiert? / Have you ever interacted with AI/chatbots?  ","  Sollten Menschen KI-Avatare von sich selbst zu Lebzeiten erstellen dürfen?
/ Should people be allowed to create AI avatars of themselves while alive?  ","  Glauben Sie, dass ein KI-Avatar die Persönlichkeit und Werte einer Person genau darstellen kann?
/ Do you believe an AI avatar can accurately represent a person’s personality and values?  ","  Was sollte ein KI-Avatar haben, um eine Person realistisch darzustellen? (Mehrfachauswahl)
/ Which features should an AI avatar have to be considered an accurate representation?  (Multiple Choice)","  Wie wohl fühlen Sie sich mit der Idee, einen KI-Avatar eines Menschen zu erstellen?
/ How comfortable do you feel about creating an AI avatar of a person?  ","  Wie wohl fühlen Sie sich mit der Idee, einen KI-Avatar eines verstorbenen Menschen zu erstellen?
/ How comfortable do you feel about creating an AI avatar of a deceased loved one?  ","  Welche Emotionen empfinden Sie beim Gedanken an die Interaktion mit einem solchen Avatar? (Mehrfachauswahl)
/ What emotions would you feel when interacting with such an avatar?  (Multiple Choice)","Wie wichtig ist die Zustimmung der Person vor Erstellung oder Nutzung eines KI-Avatars? /  How important is the person’s consent before creating or using an AI avatar? ","  Wie wichtig ist es, vor der Erstellung eines KI-Avatars die Zustimmung einer verstorbenen Person oder deren Familie einzuholen?
/ How important is obtaining consent of the 
deceased person or their family before creating an AI avatar?  ","  Was sollte passieren, wenn die Familie der verstorbenen Person die Erstellung oder Nutzung ablehnt?
/ What should happen if the family of the deceased does not approve of the AI being created?  ","  Trägt die Erstellung von KI-Avataren zur Erinnerung an Verstorbenen bei oder schmälert sie diese?
/ Does creating AI avatars contribute to or detract from the memory of the deceased?  ","  Wie würde der Kontakt mit einem  KI-Avatar einer verstorbenen Person Ihren Trauerprozess beeinflussen?
/ How might interacting with an AI avatar of a deceased person affect your grieving process?  ","  Welche Richtlinien sollten für KI-Avatare gelten? (Mehrfachauswahl)
/ What guidelines should exist for AI avatars?  (Multiple Choice)","  Wie stellen Sie sich die Zukunft digitaler Vermächtnisse mit KI vor?
/ How do you envision the future of digital legacies with AI?  ","  Würden Sie ein KI-Abbild Ihrer selbst nutzen, um in Zukunft zu kommunizieren?
/ Would you be open to using an AI avatar of yourself for future communication?  ","  Würden Sie ein KI-Abbild Ihrer selbst als Vermächtnis nutzen? 
/ Would you be open to using an AI avatar of yourself as a legacy?  ","Weiterer input? // Any other thoughts?"
"2025/09/01 4:51:01 PM OESZ","18-24","Weiblich / Female","Kein Abschluss / No degree","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Eher ja / Rather yes","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","3","3","Nostalgie / Nostalgia;Traurigkeit / Sadness","4","3","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Trägt bei / Contributes","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Ja / Yes","Vielleicht / Maybe",""
"2025/09/01 7:14:36 PM OESZ","18-24","Weiblich / Female","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Unsicher / Unsure","Stimme / Voice;Persönlichkeit / Personality;Werte & Überzeugungen / Values & beliefs","3","2","Traurigkeit / Sadness","4","5","Avatar darf nicht erstellt werden / Should not be created","Trägt bei / Contributes","Negativ / Negative","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Vielleicht / Maybe","Ich denke es wäre wichtig Leute vor der Benutzung solcher KI Avataren richtig aufzuklären also über die negativen Auswirkungen, z.B. dass man schwerer über den Tod der Person hinwegkommt "
"2025/09/01 8:14:28 PM OESZ","25-34","Männlich / Male","Master","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Unsicher / Unsure","Stimme / Voice;Gesicht / Appearance;Werte & Überzeugungen / Values & beliefs","1","1","Unbehagen / Discomfort","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Begrenzte Nutzung / Limited use","Nein / No","Nein / No",""
"2025/09/01 8:21:17 PM OESZ","25-34","Weiblich / Female","Abitur / College entrance qualification","Nein/No","Nein/No","Ja/Yes","Unsicher / Unsure","Unsicher / Unsure","Stimme / Voice;Gesicht / Appearance;Erinnerungen / Memories","3","1","Verwirrung / Confusion;Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Vielleicht / Maybe",""
"2025/09/01 8:28:35 PM OESZ","25-34","Männlich / Male","Mittlere Reife / High school","Nein/No","Nein/No","Ja/Yes","Ja /Yes","Ja, definitiv / Yes, definitely","Stimme / Voice;Gesicht / Appearance;Persönlichkeit / Personality;Werte & Überzeugungen / Values & beliefs","5","5","Trost / Comfort;Nostalgie / Nostalgia;Freude / Joy","5","5","Avatar darf nicht erstellt werden / Should not be created","Trägt bei / Contributes","Positiv / Positive","Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Ja / Yes","Ja / Yes",""
"2025/09/01 9:51:49 PM OESZ","25-34","Männlich / Male","Sonstiges/other","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Unsicher / Unsure","Stimme / Voice;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","3","3","Nostalgie / Nostalgia;Verwirrung / Confusion","5","5","Avatar darf nicht genutzt werden / Should not be used","Unsicher / Unsure","Neutral","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Ja / Yes","Ja / Yes","I hope you are having a wonderful day."
"2025/09/01 11:34:06 PM OESZ","25-34","Weiblich / Female","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher ja / Rather yes","Stimme / Voice;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","4","4","Trost / Comfort;Nostalgie / Nostalgia;Unbehagen / Discomfort","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Trägt bei / Contributes","Positiv / Positive","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Es wird verboten werden / It will be banned","Vielleicht / Maybe","Vielleicht / Maybe","Finds mega interessant und auch irgendwie toll, wenn das so möglich wäre, aber auch etwas gruselig (muss an die eine Black Mirror Folge denken, wo der Mann stirbt und sie sich dann ne KI von ihm holt; denke es kann bei gewissen Prozessen helfen, aber letztendlich wird man an irgendeinem Punkt merken, dass es nicht die echte Person ist, egal wie gut die KI wird)"
"2025/09/02 1:21:47 AM OESZ","25-34","Männlich / Male","Abitur / College entrance qualification","Nein/No","Nein/No","Ja/Yes","Ja /Yes","Unsicher / Unsure","Stimme / Voice;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs;Bei einer visuellen Darstellung: Mimiken, Gesten, etc.","4","4","Trost / Comfort;Nostalgie / Nostalgia;Freude / Joy;Traurigkeit / Sadness;Ist bestimmt eine Mischung aus Traurigkeit & Freude.","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Ja / Yes","Ja / Yes","Sowas ist bestimmt cool, sollte jedoch erst nach ablauf einer gewissen Zeit und/oder nach einem Gutachten einer Trauernden Person erlaubt werde.
Ich kann mir vorstellen, dass eine AI-Kopie eines Verstorbenen direkt nach dem Tod, die Angehörigen nicht richtig Trauern lässt. ""Er ist ja immernoch da""... irgendwie."
"2025/09/02 1:32:28 AM OESZ","25-34","Männlich / Male","Abitur / College entrance qualification","Nein/No","Nein/No","Ja/Yes","Nein / No","Nein, auf keinen Fall / No, definitely not","Persönlichkeit / Personality","3","3","Unbehagen / Discomfort","5","4","Avatar darf nicht erstellt werden / Should not be created","Trägt bei / Contributes","Neutral","Zeitliche Begrenzung / Time limitation","Es wird ein vorübergehender Trend / It will be a temporary trend","Ja / Yes","Vielleicht / Maybe","keine"
"2025/09/02 2:02:30 AM OESZ","18-24","Männlich / Male","Abitur / College entrance qualification","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Unsicher / Unsure","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","2","1","Unbehagen / Discomfort;Traurigkeit / Sadness","5","5","Avatar darf nicht genutzt werden / Should not be used","Schmälert / Detracts","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Begrenzte Nutzung / Limited use","Nein / No","Nein / No",""
"2025/09/02 2:03:48 AM OESZ","25-34","Männlich / Male","Abitur / College entrance qualification","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Nein, auf keinen Fall / No, definitely not","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs;persönliche Entwicklung mit der Zeit, deshalb denke ich es geht nicht sinnvoll, weil niemand genau weiß, wie er in ein paar Jahren sein wird. Es kann immer nur eine Bestandsaufnahme des Jetzt und der Vergangenheit sein.","2","1","Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Schmälert / Detracts","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection","Begrenzte Nutzung / Limited use","Nein / No","Nein / No",""
"2025/09/02 2:06:45 AM OESZ","25-34","Männlich / Male","Bachelor","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher ja / Rather yes","Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","4","2","Nostalgie / Nostalgia;Traurigkeit / Sadness","4","4","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Ja / Yes",""
"2025/09/02 7:35:32 AM OESZ","25-34","Weiblich / Female","Bachelor","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Eher nein / Rather no","Stimme / Voice;Persönlichkeit / Personality;Erinnerungen / Memories","2","1","Verwirrung / Confusion;Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Schmälert / Detracts","Negativ / Negative","Zustimmung der Person / Consent of the individual;Keine kommerzielle Nutzung / No commercial use","Unsicher / Unsure","Nein / No","Nein / No",""
"2025/09/02 10:17:04 AM OESZ","65+","Männlich / Male","Bachelor","Ja/Yes","Nein/No","Nein/No","Nein / No","Eher ja / Rather yes","Stimme / Voice;Gesicht / Appearance;Persönlichkeit / Personality","2","1","Verwirrung / Confusion","1","4","Avatar darf nicht erstellt werden / Should not be created","Trägt bei / Contributes","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Keine kommerzielle Nutzung / No commercial use","Begrenzte Nutzung / Limited use","Nein / No","Nein / No",""
"2025/09/02 12:12:47 PM OESZ","25-34","Männlich / Male","Abitur / College entrance qualification","Ja/Yes","Nein/No","Ja/Yes","Unsicher / Unsure","Eher nein / Rather no","Persönlichkeit / Personality;Werte & Überzeugungen / Values & beliefs","1","1","Unbehagen / Discomfort","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection","Unsicher / Unsure","Nein / No","Nein / No",""
"2025/09/02 12:35:58 PM OESZ","50-64","Weiblich / Female","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Nein/No","Unsicher / Unsure","Eher ja / Rather yes","Stimme / Voice;Persönlichkeit / Personality;Werte & Überzeugungen / Values & beliefs","1","1","Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Negativ / Negative","Keine kommerzielle Nutzung / No commercial use","Unsicher / Unsure","Nein / No","Nein / No",""
"2025/09/02 2:31:29 PM OESZ","18-24","Männlich / Male","Abitur / College entrance qualification","Nein/No","Nein/No","Ja/Yes","Nein / No","Eher nein / Rather no","Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","2","1","Unbehagen / Discomfort;Traurigkeit / Sadness","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection","Unsicher / Unsure","Vielleicht / Maybe","Nein / No",""
"2025/09/02 3:25:18 PM OESZ","25-34","Männlich / Male","Master","Ja/Yes","Ja/Yes","Ja/Yes","Nein / No","Nein, auf keinen Fall / No, definitely not","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","1","1","Verwirrung / Confusion;Unbehagen / Discomfort;Traurigkeit / Sadness","5","5","Avatar darf nicht erstellt werden / Should not be created","Schmälert / Detracts","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Es wird verboten werden / It will be banned","Nein / No","Nein / No",""
"2025/09/02 6:52:13 PM OESZ","25-34","Männlich / Male","Bachelor","Ja/Yes","Ja/Yes","Nein/No","Ja /Yes","Unsicher / Unsure","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","3","3","Trost / Comfort;Nostalgie / Nostalgia;Verwirrung / Confusion;Unbehagen / Discomfort;Freude / Joy;Traurigkeit / Sadness","5","4","Avatar darf nicht erstellt werden / Should not be created","Trägt bei / Contributes","Positiv / Positive","Zustimmung der Familie / Consent of family;Datenschutz / Data protection","Verstärkte Nutzung / Increased use","Ja / Yes","Vielleicht / Maybe",""
"2025/09/02 8:17:30 PM OESZ","50-64","Männlich / Male","Abitur / College entrance qualification","Nein/No","Nein/No","Nein/No","Ja /Yes","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Werte & Überzeugungen / Values & beliefs","1","1","Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Trägt bei / Contributes","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Begrenzte Nutzung / Limited use","Nein / No","Vielleicht / Maybe",""
"2025/09/02 9:56:26 PM OESZ","35-49","Männlich / Male","Promotion / Doctorate","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Persönlichkeit / Personality;Erinnerungen / Memories","4","2","Verwirrung / Confusion;Traurigkeit / Sadness","4","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Schmälert / Detracts","Negativ / Negative","Zustimmung der Person / Consent of the individual;Keine kommerzielle Nutzung / No commercial use","Begrenzte Nutzung / Limited use","Ja / Yes","Vielleicht / Maybe","Reminds of Black Mirror (Season 8) -Episode Eulogy "
"2025/09/03 8:19:48 AM OESZ","35-49","Männlich / Male","Sonstiges/other","Nein/No","Nein/No","Ja/Yes","Ja /Yes","Unsicher / Unsure","Stimme / Voice;Gesicht / Appearance;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","2","1","Trost / Comfort;Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Trägt bei / Contributes","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Begrenzte Nutzung / Limited use","Vielleicht / Maybe","Vielleicht / Maybe",""
"2025/09/03 11:11:18 PM OESZ","25-34","Männlich / Male","Sonstiges/other","Ja/Yes","Ja/Yes","Ja/Yes","Nein / No","Eher ja / Rather yes","Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","2","2","Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Neutral","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection","Begrenzte Nutzung / Limited use","Nein / No","Nein / No",""
"2025/09/04 10:31:15 PM OESZ","18-24","Weiblich / Female","Bachelor","Ja/Yes","Ja/Yes","Ja/Yes","Unsicher / Unsure","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","1","2","Trost / Comfort;Unbehagen / Discomfort","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Nein / No","Nein / No",""
"2025/09/04 10:36:54 PM OESZ","25-34","Männlich / Male","Bachelor","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Unsicher / Unsure","Schreibstil / Writing style;Persönlichkeit / Personality;Werte & Überzeugungen / Values & beliefs","3","1","Skepsis","5","5","Avatar darf nicht erstellt werden / Should not be created","Schmälert / Detracts","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Nein / No",""
"2025/09/04 10:41:47 PM OESZ","25-34","Männlich / Male","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher ja / Rather yes","Persönlichkeit / Personality;Erinnerungen / Memories","3","4","Trost / Comfort;Nostalgie / Nostalgia;Freude / Joy","5","4","Avatar darf nicht genutzt werden / Should not be used","Trägt bei / Contributes","Positiv / Positive","Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Unsicher / Unsure","Vielleicht / Maybe","Ja / Yes",""
"2025/09/04 10:50:52 PM OESZ","18-24","Männlich / Male","Abitur / College entrance qualification","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher nein / Rather no","Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Werte & Überzeugungen / Values & beliefs","2","1","Nostalgie / Nostalgia;Unbehagen / Discomfort;Traurigkeit / Sadness","4","2","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Schmälert / Detracts","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Es wird ein vorübergehender Trend / It will be a temporary trend","Nein / No","Nein / No",""
"2025/09/04 11:04:42 PM OESZ","25-34","Divers / Non-binary / Other","Abitur / College entrance qualification","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Eher nein / Rather no","Persönlichkeit / Personality;Erinnerungen / Memories","3","1","Freude / Joy","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Nein / No",""
"2025/09/05 7:49:03 AM OESZ","25-34","Weiblich / Female","Abitur / College entrance qualification","Ja/Yes","Nein/No","Nein/No","Unsicher / Unsure","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","2","1","Verwirrung / Confusion;Unbehagen / Discomfort;Traurigkeit / Sadness","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Nein / No","Somehow freaks me out just not 100% knowing what AI will be able to do etc"
"2025/09/05 8:59:05 AM OESZ","18-24","Männlich / Male","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Nein, auf keinen Fall / No, definitely not","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","1","1","Unbehagen / Discomfort","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Nein / No","Nein / No",""
"2025/09/05 9:21:42 AM OESZ","25-34","Weiblich / Female","Master","Ja/Yes","Ja/Yes","Ja/Yes","Unsicher / Unsure","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","3","2","Trost / Comfort;Nostalgie / Nostalgia;Verwirrung / Confusion;Unbehagen / Discomfort","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Vielleicht / Maybe",""
"2025/09/05 10:03:50 AM OESZ","25-34","Männlich / Male","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher nein / Rather no","Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs;Soul","2","1","Verwirrung / Confusion;Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Es wird ein vorübergehender Trend / It will be a temporary trend","Ja / Yes","Nein / No",""
"2025/09/05 10:35:37 AM OESZ","25-34","Divers / Non-binary / Other","Bachelor","Ja/Yes","Ja/Yes","Ja/Yes","Unsicher / Unsure","Nein, auf keinen Fall / No, definitely not","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs;Körperlichkeit","2","1","Verwirrung / Confusion;Unbehagen / Discomfort;Traurigkeit / Sadness","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Trägt bei / Contributes","Negativ / Negative","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Es wird ein vorübergehender Trend / It will be a temporary trend","Nein / No","Nein / No","KI kann niemals eine vollständige Persönlichkeit eines Menschen nachahmen, da es keine Körperlichkeit besitzt. Auch bei zeitlicher Begrenzung eines solchen Avatars ist fragwürdig, ob die Daten auf Seiten der KI-Unternehmen wirklich gelöscht werden."
"2025/09/05 11:17:25 AM OESZ","25-34","Weiblich / Female","Abitur / College entrance qualification","Ja/Yes","Ja/Yes","Ja/Yes","Unsicher / Unsure","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","2","2","Unbehagen / Discomfort","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Es wird verboten werden / It will be banned","Nein / No","Nein / No",""
"2025/09/05 12:14:25 PM OESZ","25-34","Weiblich / Female","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Ja/Yes","Unsicher / Unsure","Eher nein / Rather no","Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","3","2","Nostalgie / Nostalgia","5","4","Avatar darf nicht erstellt werden / Should not be created","Trägt bei / Contributes","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Nein / No","Nein / No",""
"2025/09/05 3:19:03 PM OESZ","25-34","Weiblich / Female","Abitur / College entrance qualification","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Werte & Überzeugungen / Values & beliefs","3","2","Nostalgie / Nostalgia;Unbehagen / Discomfort","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Vielleicht / Maybe",""
"2025/09/05 5:33:12 PM OESZ","18-24","Männlich / Male","Mittlere Reife / High school","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Unsicher / Unsure","Stimme / Voice;Gesicht / Appearance;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","3","4","Trost / Comfort;Nostalgie / Nostalgia;Unbehagen / Discomfort;Traurigkeit / Sadness","5","5","Avatar darf nicht genutzt werden / Should not be used","Trägt bei / Contributes","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Ja / Yes","Ja / Yes",""
